CUSTOMER_ID,LOYALTY_SEGMENT,CHEFS_TABLE,AGE, INCOME ,GENDER,ZIP_CODE,DMA,GEOGRAPHY,ACQUIRED_DATE,12 Mo. DELIVERY_FEE_PAID,12 Mo. DELIVERYPASS_USED,12 Mo. DISCOUNT_AMOUNT,12 Mo. Orders,12 Mo. ORDERS_W_PROMO,12 Mo. Sales,24 Mo. DELIVERY_FEE_PAID,24 Mo. DELIVERYPASS_USED,24 Mo. DISCOUNT_AMOUNT,24 Mo. Orders,24 Mo. Orders w. Promo,24 Mo. Sales, SUNDAY ORDERS 12 MO.,MONDAY ORDERS 12 MO.,TUESDAY ORDERS 12 MO.,WEDNESDAY ORDERS 12 MO.,THURSDAY ORDERS 12 MO.,FRIDAY ORDERS 12 MO.,SATURDAY ORDERS 12 MO.,AlcoholicBeverages,BabyBoutique,Bakery,Bread,Catering,Dairy,DeliandCheese,Floral,Freezer,Grocery,HealthandBeautyAids,HouseholdEssentials,Kitchen,MealKit,Meat,NonalcoholicBeverages,PetShop,Poultry,Produce,Seafood,Snacks
10000004729,2. Bi-Weekly Shoppers,0,28,40000,F,11101,NY-NJ,Queens,2012/1/7,68.89,0,1.11,11,2,1059,92.85,0,1.12,15,3,1601,0,2,1,3,2,2,1,0,0,1.44,0,0,12.51,3.29,0,4.11,12.16,0,0.7,19.81,2.02,5.23,2.48,0,3.7,30.67,1.57,0.31
10001241065,3. Every Three Week Shoppers,0,29,150000,F,11206,NY-NJ,Brooklyn,2012/1/7,0.00,13,20.96,15,7,1092,17.97,13,50.92,21,14,1823,1,1,2,4,1,3,1,0,0,3.94,0,0,17.01,2.87,0,0,13.61,5.73,1.48,0,0,0,0,1.79,0,30.26,18.09,5.22
100037182,2. Bi-Weekly Shoppers,1,42,150000,M,10012,NY-NJ,Manhattan,2004/3/30,225.66,0,3.06,34,7,12219,351.45,0,9.05,56,8,18931,1,1,13,8,6,3,2,7.21,3.33,1.92,0.7,0,10.13,3.53,0,0.76,10.06,3.56,6.89,2.99,0,4.73,0.12,4.85,3.78,26.65,6.14,2.63
10004572626,4. Once a Month Shoppers,0,28,150000,F,10010,NY-NJ,Manhattan,2012/1/8,0.00,8,6.89,10,2,965,0.00,24,6.90,24,3,2942,4,1,2,0,0,0,1,0,0,0,0,0,19.27,23.35,0,0,5.62,0,0,1.79,0,0,0,0,0,24.38,16.6,8.99
1000510723,4. Once a Month Shoppers,0,43,50000,M,10027,NY-NJ,Manhattan,2006/3/26,11.98,0,7.99,3,1,240,11.98,0,7.99,3,1,240,0,2,0,0,0,1,0,0,0,2.23,2.37,0,18.98,4.55,0,2.14,12.27,8.93,3.03,15.54,0,5.05,3.34,0,0,11.7,1.84,8.01
100053192,1. Weekly Shoppers,1,#N/A,#N/A,#N/A,10021,NY-NJ,Manhattan,2004/3/30,34.95,71,297.41,79,39,6262,34.95,117,463.00,125,62,11581,12,8,11,12,13,11,11,3.15,0,2.78,2.47,0,10.34,6.89,0.64,5.29,8.23,0.64,2.53,6.23,0,3.48,0.21,0,0,43.15,2.94,1.03
10008333845,2. Bi-Weekly Shoppers,1,#N/A,#N/A,#N/A,10010,NY-NJ,Manhattan,2012/2/5,12.98,31,67.50,36,8,3055,12.98,77,67.53,82,11,7544,4,3,2,2,5,5,15,0,0,0,0,0,10.1,0,0,0,2.64,1.91,4.57,0,0,0,0,0,0,75.1,0,5.69
10010229464,3. Every Three Week Shoppers,0,#N/A,#N/A,#N/A,11231,NY-NJ,Brooklyn,2012/1/8,0.00,23,2.03,25,4,3519,0.00,46,9.06,46,8,7662,0,3,5,4,3,4,4,0,0,0,0,0,7.98,0,0,0,0.32,1.18,29.14,0,0,0,61.38,0,0,0,0,0
10011769989,1. Weekly Shoppers,1,63,300000,F,10128,NY-NJ,Manhattan,2012/1/7,0.00,44,66.90,60,18,12798,0.00,20,0.01,20,34,3211,9,6,10,8,5,4,15,0.65,0,0.28,1.79,0,28.64,2.93,0,3.34,6.52,1.97,10.58,13.64,0,1.83,4.04,4.66,1.18,7.65,0,10.29
10012211517,5. Infrequent Shoppers,0,40,200000,F,10024,NY-NJ,Manhattan,2013/1/10,0.00,8,0.01,10,1,1259,0.00,19,0.04,19,4,2958,0,2,3,1,0,2,0,0,5.03,0,1.75,0,29.77,1.94,0,8.33,2.55,0,0,13.06,0,0,22.87,0,1.61,3.41,0,9.68
100137098,3. Every Three Week Shoppers,1,49,100000,F,11379,NY-NJ,Queens,2004/4/4,0.00,25,8.55,27,5,7693,0.00,51,15.56,52,9,17122,5,10,7,0,1,2,0,1.08,0,2.4,3.3,0,15.61,11.08,0,8.79,17.56,0,0.06,2.17,0,7.07,0.85,0,5.88,13.81,2.96,7.38
1001424349,3. Every Three Week Shoppers,0,37,250000,M,10023,NY-NJ,Manhattan,2006/3/30,112.83,0,4.20,17,4,3243,208.67,0,4.21,33,5,6439,7,1,3,0,2,3,1,0,0,0,0.37,0,11.57,0.76,0,25.04,1.01,0,0,50.04,0,0,5.49,0,0,3.12,0,2.6
10015220073,2. Bi-Weekly Shoppers,1,45,75000,F,7670,NY-NJ,New Jersey,2012/1/8,48.93,0,0.00,30,4,1592,48.93,0,0.00,7,6,1592,0,2,6,8,7,6,1,0,0.8,0,1.79,0,4.69,0,0,1.64,4.09,2.19,25.9,0,0,0,41.21,0,0,1.41,0,16.27
1001638308,3. Every Three Week Shoppers,1,#N/A,#N/A,#N/A,10002,NY-NJ,Manhattan,2006/3/27,0.00,29,5.05,32,6,8082,77.87,52,32.38,66,15,16391,6,6,5,5,6,1,1,10.51,7.83,0.91,2.29,0,6.72,4.17,0.37,8.17,5.85,0.36,3,26.28,0,0,4.85,0,0,8.77,0.62,9.3
1001679204,2. Bi-Weekly Shoppers,0,54,30000,F,11205,NY-NJ,Brooklyn,2006/3/27,69.90,0,0.01,31,2,982,219.65,0,4.06,35,9,4007,4,3,0,1,3,1,19,0,0,2.78,3.54,0,20.2,1.48,0,2.57,18.99,0,4.85,16.32,0,6.24,0.43,3.02,2.54,13.15,0,3.88
10017646181,2. Bi-Weekly Shoppers,1,39,15000,F,10701,NY-NJ,Westchester/CT,2012/1/8,0.00,41,0.01,44,1,5644,0.00,94,0.04,94,4,10631,10,3,4,3,4,5,12,13.78,0,0.86,1.01,0,11.05,1.79,5.9,10.09,6.38,11.27,12.11,4.06,0,0,7.34,0,0,11.76,0,2.61
100178937,5. Infrequent Shoppers,0,40,100000,F,11231,NY-NJ,Brooklyn,2005/6/14,26.96,0,25.98,8,5,1335,32.95,0,25.99,9,6,1494,1,1,3,0,1,1,1,0,0,0,2.5,0,9.79,0,0,2.19,13.03,0,18.8,0,0,1.87,4.03,4.99,16.39,26.41,0,0
10020010269,2. Bi-Weekly Shoppers,1,38,65000,M,10011,NY-NJ,Manhattan,2012/1/8,0.00,35,106.02,37,6,3487,0.00,65,116.04,65,9,5492,7,13,8,4,1,1,1,0,0,0,0.33,0,18.64,1.46,0,4.84,7.15,6.11,8.67,14.25,0,0,13.4,0,0,17.99,0.79,6.37
10020533728,5. Infrequent Shoppers,0,53,150000,F,10017,NY-NJ,Manhattan,2012/1/9,81.88,0,0.02,12,2,1862,81.88,0,0.02,12,2,1862,0,1,1,3,6,0,1,0,1.37,0.77,0.55,0,19.17,2.4,0,4.34,6.72,1.27,11.92,0,0,1.71,15.37,0,5.07,23.25,4.51,1.58
